subset	comparison	unmodified_n	modified_n	chi2	df	p_value	cramers_v	unmodified_trans_n	unmodified_trans_pct	unmodified_gauche_plus_n	unmodified_gauche_plus_pct	unmodified_gauche_minus_n	unmodified_gauche_minus_pct	unmodified_other_n	unmodified_other_pct	modified_trans_n	modified_trans_pct	modified_gauche_plus_n	modified_gauche_plus_pct	modified_gauche_minus_n	modified_gauche_minus_pct	modified_other_n	modified_other_pct
single	THR->TPO	490	276	98.7491704230433	3	2.8868878068771685e-21	0.3590478604413677	48	9.795918367346939	159	32.44897959183673	274	55.91836734693877	9	1.836734693877551	17	6.159420289855072	9	3.260869565217391	241	87.31884057971014	9	3.260869565217391
single	SER->SEP	714	228	139.0993913531217	3	5.9107531577303685e-30	0.3842706043954763	105	14.705882352941176	441	61.76470588235294	146	20.448179271708682	22	3.081232492997199	35	15.350877192982455	48	21.05263157894737	123	53.94736842105263	22	9.649122807017545
all	THR->TPO	1185	508	177.98950751617633	3	2.3967710464113754e-38	0.32424159092108135	77	6.4978902953586495	454	38.312236286919834	616	51.983122362869196	38	3.2067510548523206	88	17.322834645669293	42	8.26771653543307	344	67.71653543307086	34	6.692913385826771
all	SER->SEP	1204	388	87.48084741645535	3	7.6129662190082575e-19	0.2344147628467265	146	12.12624584717608	670	55.647840531561464	349	28.98671096345515	39	3.2392026578073088	51	13.144329896907216	132	34.02061855670103	155	39.94845360824742	50	12.88659793814433
