subset	residue	all_sites_n	measurable_basic_orientation_n	toward_n	toward_pct	lateral_n	lateral_pct	opposite_n	opposite_pct	same_side_valid_n	same_side_n	same_side_pct
single	TPO	276	270	204	75.55555555555556	41	15.185185185185185	25	9.25925925925926	270	228	84.44444444444444
single	SEP	228	211	140	66.35071090047393	68	32.22748815165877	3	1.4218009478672986	211	165	78.19905213270142
single	PTR	208	204	103	50.490196078431374	101	49.509803921568626	0	0.0	204	158	77.45098039215686
all	TPO	508	486	345	70.98765432098766	114	23.45679012345679	27	5.555555555555555	486	402	82.71604938271605
all	SEP	388	338	182	53.84615384615385	150	44.37869822485207	6	1.7751479289940828	338	247	73.07692307692308
all	PTR	501	492	204	41.46341463414634	283	57.520325203252035	5	1.016260162601626	492	362	73.57723577235772
