subset	comparison	unmodified_n	modified_n	chi2	df	p_value	cramers_v	unmodified_trans_n	unmodified_trans_pct	unmodified_gauche_plus_n	unmodified_gauche_plus_pct	unmodified_gauche_minus_n	unmodified_gauche_minus_pct	unmodified_other_n	unmodified_other_pct	modified_trans_n	modified_trans_pct	modified_gauche_plus_n	modified_gauche_plus_pct	modified_gauche_minus_n	modified_gauche_minus_pct	modified_other_n	modified_other_pct
single	THR->TPO	490	276	100.35669250437847	3	1.3025636440876329e-21	0.36195850436617816	276	56.326530612244895	160	32.6530612244898	48	9.795918367346939	6	1.2244897959183674	247	89.4927536231884	9	3.260869565217391	17	6.159420289855072	3	1.0869565217391304
single	SER->SEP	714	228	122.31066693873014	3	2.4533333310090934e-26	0.36033522216695446	147	20.58823529411765	443	62.04481792717087	105	14.705882352941176	19	2.661064425770308	126	55.26315789473684	55	24.12280701754386	35	15.350877192982455	12	5.2631578947368425
all	THR->TPO	1185	508	158.29930263916003	3	4.2671775792927334e-34	0.30578136976472586	619	52.23628691983122	468	39.49367088607595	77	6.4978902953586495	21	1.7721518987341771	354	69.68503937007874	54	10.62992125984252	88	17.322834645669293	12	2.3622047244094486
all	SER->SEP	1204	388	30.722576275144267	3	9.72408868479526e-07	0.13891760390728697	352	29.235880398671096	672	55.81395348837209	146	12.12624584717608	34	2.823920265780731	162	41.75257731958763	157	40.4639175257732	51	13.144329896907216	18	4.639175257731959
