residue	n	nearest_basic_measured_n	nearest_basic_median_angstrom	nearest_basic_mean_angstrom	buried_n	buried_pct	intermediate_n	intermediate_pct	exposed_n	exposed_pct	salt_bridge_like_n	salt_bridge_like_pct	hbond_like_n	hbond_like_pct	water_mediated_like_n	water_mediated_like_pct	none_obvious_n	none_obvious_pct	salt_like_nearest_carbon_n
THR	1185	975	6.00358887883119	5.818186329199118	444	37.46835443037975	543	45.822784810126585	198	16.70886075949367									
SER	1204	904	5.312713599573529	5.138285291908349	468	38.87043189368771	510	42.35880398671096	226	18.770764119601328									
TYR	2124	1572	4.691462186607597	4.930577753009733	818	38.51224105461394	1115	52.495291902071564	191	8.992467043314502									
TPO	508	486	2.7745186239872033	3.3506360286116617	61	12.007874015748031	268	52.75590551181102	179	35.23622047244095	402.0	79.13385826771653	28.0	5.511811023622047	21.0	4.133858267716535	57.0	11.220472440944881	14.0
SEP	388	338	3.0844082753101105	3.7327723355228954	37	9.536082474226804	222	57.21649484536083	129	33.24742268041237	210.0	54.123711340206185	24.0	6.185567010309279	62.0	15.97938144329897	92.0	23.711340206185568	7.0
PTR	501	492	2.908997786950715	3.175968413822291	14	2.7944111776447107	330	65.86826347305389	157	31.3373253493014	404.0	80.63872255489022	13.0	2.594810379241517	40.0	7.984031936127744	44.0	8.782435129740518	10.0
